cellid,freq
15946,2
21549,1
20081,1
10491,3
15430,1
15258,3
21286,1
16696,36
17841,10
13773,19
14143,1
12044,12
13303,6
21180,11
14045,1
19558,1
21294,3
16080,2
18322,1
20831,1
18669,1
15740,6
17895,4
14027,2
12370,1
17513,1
20177,1
15018,1
15222,3
13181,22
20395,4
11704,1
13204,1
15091,1
15431,1
15647,1
17229,1
17902,5
17618,2
21672,1
13815,1
12745,7
18450,4
16488,6
19559,3
14532,9
17745,2
12209,10
11882,1
2644,1
14533,22
14983,1
21296,1
15350,6
18308,2
18415,11
18864,4
15851,1
11874,3
13748,1
21167,2
15123,77
13494,2
18986,2
16316,16
12371,18
13769,2
13752,2
15122,3
13345,1
17619,1
18412,9
12228,3
14642,3
21445,6
18350,1
8708,1
17999,2
19750,1
15952,1
16385,1
11165,1
14171,3
15842,2
15110,6
16204,174
16781,1
17302,1
13447,2
13903,11
14461,7
15459,1
11509,2
14401,4
18413,26
16202,2
17836,1
16512,1
19188,2
14020,3
17518,1
18679,1
13200,1
19706,1
18662,2
14450,3
16208,41
12703,1
21756,1
16788,2
15752,1
12206,2
18391,1
14917,3
13026,47
9237,1
12375,5
19592,3
19189,6
15645,3
19208,1
15319,1
11702,3
21346,1
12730,11
18680,3
16591,11
11688,5
14866,1
17200,1
10580,1
15635,2
14577,1
14303,1
17921,1
11875,3
8818,1
15560,2
12555,2
21301,1
14572,1
13618,10
13880,3
13873,4
18549,1
14989,1
21433,2
15429,1
21110,3
14996,1
11860,3
15454,3
11516,5
13596,1
19225,2
16206,4
17346,1
19172,2
17740,1
11689,1
17540,1
15571,7
14529,3
18103,1
13898,1
15231,13
17347,1
11911,15
12074,4
11863,2
15873,5
15680,1
17798,10
10017,1
17897,120
17407,2
15754,3
14510,5
17994,2
15012,132
11905,2
21383,1
15995,1
12848,1
15741,11
9430,3
15099,1
14274,4
19293,5
9429,1
21472,6
17506,1
19079,1
14519,2
16420,7
15539,2
14923,1
13478,3
21226,3
17227,3
21613,1
17600,8
20322,1
11451,1
18449,1
16315,27
14014,7
15465,6
13395,1
14025,1
19875,1
14813,2
14203,1
17501,1
12397,2
16291,5
21071,1
8516,1
13158,1
20739,1
12714,2
6931,1
14925,4
13889,1
20506,2
13751,3
16481,3
12572,11
12031,8
17940,1
13913,5
11503,2
16278,2
12462,1
18310,10
12996,1
13594,7
12554,4
15210,1
12409,3
15751,3
16092,1
13906,2
12571,2
21288,3
13038,2
14172,4
13654,1
13897,10
15235,3
10415,1
17709,1
13933,1
12581,1
18458,3
18291,2
21570,2
15140,1
13480,8
14412,4
18779,1
20180,1
20922,1
14976,2
14783,2
15573,6
14270,1
12238,2
18238,1
16386,25
