cellid,freq
20284,1
15844,1
4820,1
18635,1
3987,1
17311,2
12002,1
13730,2
19878,2
10840,1
15974,1
15284,1
19958,1
19835,3
16793,1
7028,1
9704,1
11286,1
13596,1
6290,1
5395,1
16100,2
16982,1
17884,1
16824,1
19359,1
10328,1
12300,1
19636,1
18604,4
541,1
19534,1
10830,2
11039,2
15123,4
16213,2
9828,1
20679,2
15334,1
20885,1
18394,2
16772,2
18711,2
3198,1
15858,4
16872,1
20347,3
17029,1
6822,2
14654,1
14822,1
14273,1
15127,4
18611,1
15244,1
6716,1
15034,2
9562,1
20963,1
18688,2
16892,1
13473,1
20182,1
10650,1
15761,2
17333,2
3121,1
16909,1
13312,1
11001,1
15059,1
8771,2
9263,1
12390,1
12222,1
11424,1
15556,1
18743,1
13597,1
16996,1
17685,3
16369,1
21280,1
8876,1
16509,5
7459,1
16993,2
15131,2
12854,4
19531,2
12440,2
5269,1
7080,1
1900,1
15303,1
16254,2
18279,2
19606,1
1548,1
16018,1
17620,1
19743,2
1881,2
5078,1
11952,1
13515,1
19684,1
15705,1
16707,3
2854,1
20856,1
19861,1
20077,1
9565,1
14925,2
17823,1
19064,2
3705,1
21322,1
15864,2
19312,1
14587,1
16858,1
13588,1
20790,1
13144,2
19936,1
10230,2
16385,4
14027,3
12099,2
12867,1
17425,2
17838,1
13938,1
15470,3
20458,2
10133,3
9939,1
19095,1
301,1
20465,2
18656,1
20927,1
19485,1
17595,3
20937,1
19694,1
21743,1
8800,1
20593,1
15055,1
16686,4
10051,1
15703,1
17943,1
19954,4
7809,1
19179,2
20417,2
17439,1
18137,1
5938,1
14647,1
12286,1
6469,1
20621,1
17356,3
15509,1
19784,1
15883,3
21735,1
6381,1
20483,1
21177,1
7971,1
15129,2
13796,2
9902,1
21789,1
374,1
10614,1
2408,1
11541,3
18074,1
731,1
15619,1
19001,1
16277,3
20854,3
5517,1
11542,1
21272,3
20546,2
20730,2
17537,2
15358,7
15456,3
18938,1
7581,1
12086,1
12070,2
12884,1
17056,1
11709,2
4927,1
12890,1
14485,1
20954,2
16617,2
14068,1
16727,1
9668,1
16286,1
20106,1
8586,2
20122,1
3634,1
17653,1
14457,1
13459,3
11577,1
14741,1
20145,2
6056,1
8388,1
17336,3
15969,1
21134,1
19963,2
18042,1
12904,1
18739,2
14564,2
17738,1
18584,2
17718,2
5743,1
17108,3
16961,2
12696,3
14442,5
14880,1
19758,4
15825,1
14977,1
17212,4
18519,1
16696,1
15380,1
11398,1
15187,3
15235,4
11885,1
18490,1
16302,2
10882,1
14460,1
14440,1
17964,1
8674,1
4501,1
17000,1
19332,1
14405,1
11994,1
7376,1
15881,2
18080,1
14782,2
15545,2
7038,1
14544,3
12413,1
2071,1
11786,1
18288,3
21137,1
18516,1
19301,1
14539,3
14141,1
15429,1
19946,1
13017,1
17117,2
18232,1
10078,1
15859,1
18646,1
14914,2
19006,1
14922,2
19124,1
12206,1
20908,1
18188,2
10320,1
12845,1
17590,1
11394,1
7607,1
8036,1
6263,1
14529,3
17992,2
16308,4
7925,1
19934,1
8553,1
16613,2
15946,1
16038,1
16179,2
18012,1
15064,1
18988,1
14063,4
14690,1
5556,1
18820,1
15996,2
4953,1
17583,3
16778,1
20982,1
11884,1
20079,1
16347,2
19851,2
8792,1
16015,1
16730,1
405,1
17609,1
20789,1
18927,2
15826,1
19880,1
18714,2
20985,1
18152,1
3893,1
16652,1
18085,4
3089,1
17405,3
14827,3
4941,1
18815,2
17574,3
17130,2
9484,1
12135,1
12443,1
10807,1
17488,3
20133,1
17245,2
13012,1
14761,3
15008,3
7837,2
15428,3
13886,1
14545,2
20727,1
18346,1
17299,2
5577,1
19402,1
18186,1
14681,2
11942,3
21604,1
12916,1
5703,1
16243,1
15012,4
3226,1
19277,3
20278,1
19494,1
15673,2
19723,1
19420,1
16340,1
21221,1
11712,1
18499,1
13050,1
1145,1
19472,1
13001,1
15752,1
11191,2
16694,4
18805,2
19586,1
16969,1
6291,1
12564,1
14448,3
18154,2
17582,2
20539,3
12062,3
15307,1
16102,3
12065,3
15341,6
20333,1
12996,1
19171,2
18022,2
19949,1
2034,1
15753,2
20337,3
14174,4
18879,2
17997,1
15532,1
12525,1
15370,1
1402,1
19742,3
10905,2
13451,1
10,1
18084,3
7778,1
13418,1
21647,2
20009,1
16821,2
20760,1
16237,1
14527,1
20471,1
11176,1
16183,3
11530,1
21537,2
14650,2
16487,4
16154,1
17675,2
21757,1
18708,2
18364,1
7612,1
18508,1
15943,1
8547,1
17157,3
21680,1
8089,1
21428,2
19970,1
18208,3
15874,1
12650,1
15728,2
8489,1
11615,1
15264,3
15684,3
9148,1
12712,1
10489,1
19378,5
17450,1
10659,2
5760,1
19261,3
21642,1
14930,1
16798,4
9118,1
15880,1
11364,2
20718,1
14777,3
16409,2
10318,2
16435,3
20279,1
17872,2
18963,2
15662,1
14701,2
12273,1
17715,1
11956,1
10514,1
6974,1
16706,1
17104,1
17107,1
16504,3
16844,1
7943,1
15789,3
17035,1
20118,1
16758,2
20370,1
12691,2
15543,4
7060,1
9938,1
14738,1
3202,1
15413,2
9159,1
15612,1
11019,1
4245,1
19147,2
20551,1
16032,1
4309,1
12726,2
19282,1
20388,1
21279,1
7408,1
21531,1
6635,1
20137,1
16791,2
21147,1
17413,2
7605,1
18713,1
17156,1
12481,2
9258,1
12503,1
15191,1
15032,1
11897,1
17222,3
17341,1
13776,1
5143,2
20327,2
20162,1
18951,2
21161,1
15259,1
11214,2
10340,1
18612,5
699,1
19707,1
7067,1
16584,1
17411,1
17430,2
12397,1
1490,2
19328,1
20910,2
15960,1
20243,2
11782,1
9878,1
17082,1
6882,1
15566,4
14002,1
18310,2
21616,1
16433,1
10841,1
7627,2
18226,2
19991,1
16505,3
12163,1
10483,1
20068,1
17378,3
14781,4
15633,1
20330,1
10700,1
13003,1
16794,2
20598,2
14054,3
7023,1
20081,1
17830,1
14784,1
19365,2
12304,1
13763,4
19390,1
14674,1
13861,1
13494,1
1705,1
19327,1
11345,1
16876,1
10070,3
18230,1
3695,1
951,1
17097,2
20782,1
14317,2
11169,1
11768,1
16856,1
17671,2
17812,3
5258,1
15419,1
17544,2
18455,1
16200,8
20965,1
8024,2
14661,2
15588,1
21612,1
13099,1
3635,1
16123,2
16962,1
2970,1
14057,1
16691,1
21405,1
15011,1
19473,2
656,1
13546,1
958,1
8682,1
16587,2
20535,2
14427,1
9661,3
8970,2
16932,1
19128,2
8650,1
20650,1
3983,1
17635,3
13029,1
14324,1
14330,1
19019,1
16088,1
7604,2
17879,2
17199,5
6502,1
17790,2
14688,2
14066,1
17417,2
13755,2
21084,1
1109,1
21504,1
9334,2
12885,1
18408,1
372,1
14678,4
18003,2
8529,1
19048,1
14173,3
10626,1
11944,2
18599,3
14052,4
19508,2
17514,2
9368,1
18922,2
12704,2
19380,4
13613,4
4965,1
8316,1
20232,1
14566,5
16807,2
7975,1
6421,1
16983,6
11775,1
16455,1
16891,2
11024,2
14065,1
15669,6
19352,2
16675,1
20797,1
13165,1
18198,1
7618,2
18319,2
20909,2
3767,1
16402,3
13892,1
3599,2
19170,2
13498,1
15310,1
15398,1
13483,3
7800,1
9901,1
7428,1
16923,1
17094,4
11543,1
16877,1
20215,1
12220,2
20715,2
4444,1
18834,1
8963,1
3610,1
15744,1
13019,2
17067,2
13067,1
16888,4
14966,2
18440,1
16747,1
9307,1
18500,2
7269,2
6856,1
5911,1
21577,1
18787,1
16212,1
17159,1
15985,4
8577,1
19406,1
13868,1
15868,2
16893,1
14117,1
21539,2
13542,1
14984,1
16376,3
17192,5
7049,2
16963,1
19017,2
17913,1
20477,2
4473,1
17485,1
15861,1
9480,2
18304,1
14803,3
1689,1
7059,1
5338,1
10116,2
14683,3
18092,1
13426,2
4363,1
18305,1
12392,1
15412,1
13897,1
12436,2
16378,4
16609,2
17622,4
20432,1
9476,1
17132,1
18973,1
12321,1
10546,1
17202,1
18603,3
17426,1
20629,3
14056,1
8357,1
18307,2
19977,2
17534,3
15157,1
14191,1
21355,1
929,1
8369,3
18081,1
9014,1
15552,1
20207,1
13441,3
13906,1
18699,1
7221,1
12990,2
16084,1
20758,1
7745,1
12725,1
18204,3
8402,1
10256,1
15573,4
16568,1
18209,4
19639,2
19925,1
15321,1
21510,1
20290,2
17317,2
12982,2
21522,1
4238,1
13202,1
12973,1
19185,1
15439,1
8817,1
14915,2
12988,1
16700,1
294,1
7715,1
7643,1
18845,2
18543,1
5145,2
12103,1
13920,1
15108,2
9972,1
20661,3
14572,2
12545,1
14074,1
13197,2
14508,1
19982,1
19521,5
10113,1
7806,1
11617,1
15349,1
17427,2
4945,1
19528,1
15846,1
14438,3
21396,1
18182,1
16637,1
14008,1
19899,1
1529,1
13926,1
16623,2
11756,1
17438,1
18292,1
4371,1
21267,1
19360,2
19168,1
19522,2
15260,2
16039,1
12748,2
17434,2
9302,1
15585,2
16782,3
13059,2
14655,1
20705,7
12315,1
17508,2
13442,3
19836,1
19154,5
3757,1
15567,2
20606,1
19870,1
9336,1
16745,1
19466,1
21106,2
5144,2
15339,1
18941,1
17588,2
18079,1
14476,1
8349,1
17215,2
21119,1
4898,1
16047,1
17709,9
17939,1
15957,1
17205,1
12933,1
7788,1
17002,1
18093,1
14029,1
14927,1
17188,1
15513,1
15263,3
19400,1
10181,1
18493,1
17784,2
14041,4
14669,1
19556,1
18800,1
12209,1
20011,2
14623,1
15524,2
19776,1
14456,1
21601,1
10522,1
15791,1
6660,1
18363,3
14323,3
17214,1
18237,1
7031,1
18578,1
20094,1
4885,1
14449,2
10619,1
7076,1
21430,1
13450,1
8949,1
13345,2
8211,1
8414,1
8164,3
9145,1
18894,1
12367,2
18032,2
11362,2
19140,1
16328,1
6112,1
10833,1
17587,1
9297,1
10474,1
20619,1
6274,1
2648,1
9310,1
17602,1
11931,2
7839,1
13971,1
5150,1
16797,3
8092,1
2429,1
11550,1
14064,1
2613,1
16297,2
19317,1
9125,2
14020,1
21026,2
10466,3
9304,1
9526,1
9087,1
14412,1
7564,1
16622,1
20270,1
18843,1
11563,1
9941,2
16941,1
17350,3
13211,1
16978,2
19288,1
19211,4
19055,1
20427,1
16111,1
15872,1
19850,4
15745,1
13013,1
2467,1
17377,1
10608,1
15830,2
8034,1
21261,1
14525,4
15480,3
10707,1
16508,3
16944,1
16586,1
14050,2
14658,1
6119,1
20444,3
13512,2
19506,2
15671,2
14549,1
11710,2
17115,1
13824,1
15305,1
19304,3
14831,2
16607,2
15558,2
13742,2
15796,1
14474,2
1698,1
10653,1
19436,1
19857,1
15242,2
10108,1
21114,1
17200,2
17780,2
15173,1
20770,1
17453,2
16621,1
8990,2
10904,1
20643,1
5847,1
16503,3
18352,1
19085,4
4961,1
6227,1
18277,1
16494,4
18682,2
13675,1
11086,1
6448,1
